name,whatsapp_number,phonecall_number
MFZ SUPPLIES & SERVICES,0173886125,0173886125
SEPAKAT UPHM ENTERPRISE,0125980482,0125980482
MSK INTERTECH SOLUTION,0182314091,0182314091
MIMA UNGGUL ENTERPRISE,0174699111,0174699111
NS JOY RESOURCES,0173709290,0173709290
MEGA VISION AIRCOND SERVICES,0193827870,0193827870
HARTECH SERVICE,01126720543,0124862412
KMH ELECTRICAL SDN BHD,0146996118,0146996118
HANDYMAN & RENO SERVICES,0124963720,0124963720
MAHROJA RESOURCES,0132302013,0132302013
AC COOL N COOL ENGINEERING,0163824522,0163824522
"HAMRA EMPIRE CLEANING, RENOVATION, AND DECORATIVE SERVICE",01110054164,01110054164
CAHAYA AIRCOND SERVICES,01111924353,01111924353
DELTA VISION RESOURCES,0165207104,0165207104
GGS CONTRACTSON,0199245276,0199245276
PENANG AIRCOND SERVICES,0194918713,0194918713
HI TECH SKILL ENGINEERING,01157718759,01157718759
TOKOJUT DEN EMPIRE,01114463701,01114463701
VKL SERVICES,0182730773,0182730773
JUPITER SS ENTERPRISE SSM (003041766V) CIDB (SL087528),0102303493,0102303493
SHAH AIRCOND & ELECTRIC SERVICES,0174315585,0174315585
RD AIRCOND ELECTRICAL KLANG,01110230379,01110230379
MASTERZ MARKETING,0102608768,0143029055
NAZZARO RENOVATION SDN BHD,01126945926,01126945926
HYDRAKLEEN,0186657340,0186657340
KOOL KONCEPT AIRCOND SERVICES,0189688086,0189688086
AS AIRCOND & ELECTRICAL SERVICE,0187731445,0187731445
NEZTEK ENTERPRISE,0122149069,0122149069
ARTISAN RESOURCES,0166371663,0166371663
AIRCONSERVICE 4U,01162034804,01162034804
ES COOLAIR AIRCOND SERVICES,0198885856,0198885856
PERIS RESOURCES,01124606400,01124606400
ARIF SHAZWAN HOME SERVICES,0147067316,0147067316
AC COOL N COOL ENGINEERING,0163824522,0163824522
AIRCON ELECTRIC SOLUTION,0169559529,0169559529
SMJ WORLDWIDE TRADING SERVICES,0167555401,0167555401
EKSB RESOURCES,0182980860,0182980860
HYSSOP ENTERPRISE,0126832600,0126832600
KZ ENGINEERING AND CONSTRUCTION,01123451867,01123451867
SHAH GEE FIX HOME ENTERPRISES,0182368981,0182368981
YANYU BROTHERS CONSTRUCTION,0162364409,0162364409
HELINA AIRCOND AND ELECTRICAL ENTERPRISE,01151770468,01151770468
MAXIMS CLEANING SERVICES,0163212991,0163212991
BURHANAAYAN SHOP,0162436499,01164125929
TEKNIK MENANG ENGINEERING SDN BHD,0125813233,0125813233
HANA EXCLUSIVE RESOURCES,0124212403,0124212403
HOMEFIX.MY,01128031257,01128031257
STAR CLEANING SERVICES,0176844668,0176844668
786 BAKTI RESOURCES,0182649131,0182649131
SEVEN STAR ENGINEERING SERVICES,01128027755,0125075565
W A KHAN ENTERPRISE,0176852192,01123103259
ARUS TENAGA GLOBAL ENTERPRISE,0135527511,0135527511
TS PRO SERVICE,0182970402,0182970402
ONE STOP RENOVATION,0163715743,0163715743
AYZAL N ENTERPRISE,01133800036,01133800036
PRO JUNK RESOURCES SDN BHD,0123445406,0123445406
MAINTENANCE EXPERTS,0149714909,0149714909
GILL INTERPRISE,01128389635,01128389635
SUN HOME CLEANING,0196899501,0102903954
HOUSE REPAIR AND RENOVATION,0182829263,0182829263
FSP RESOURCES,0182832507,0182832507
SAIRA RESOURCES SDN BHD,0176844668,01128187832
BEN CALEB SERVICES,0183625471,0183625471
SSRD RESOURCES,0109585945,0109585945
MADA SERVICES,01110231212,01110231212
F&F MULTI RESOURCES,0198297027,0198297027
ZARA AIRCOND SPECIALIST,0146711752,0161800618
DOUBLE A HOME MAINTENANCE ENTERPRISE,0182264833,0182264833
HA PROJECT RESOURCES,0183583519,0183583519
EASY PEASY DESIGNS,0136666700,0136666700
GMJ ENTERPRISE,0182299172,0182299172
FK SMART ENTERPRISE,0186669147,0186669147
HST GLOBAL MARKETING SDN BHD,0183578572,0183578572
MBDS SOLUTION,0104393902,0104393902
XNAVY CLEANING,0189005098,0189005098
TIANLEE ELECTRICAL & TELECOMMUNICATION,0122581338,0122581338
BINA PASIFIK SDN BHD,0193668776,0193668776
MAHLIGAI SAPURA ENGINEERING,0125713661,0125713661
PRESTASI CEMERLANG RESOURCES,0166700756,0166700756
MANE RENOVERE COMPANY,0109888590,0109888590
H&H BINA JAYA ELECTRICAL & RENOVATION,0183836650,0183836650
AYN BUILDER RESOURCES,0102959071,0102959071
T&T RENOLABS SDN BHD,0168606625,0168606625
TAYONIC SERVICES,0173117024,01170773640
NAAJIHUN MAKMUR SDN BHD,0164465712,0164465712
BEST SOLUTION RESOUR SDN BHD,0168006414,0168006414
WENG COOL & ELECTRICAL,0196338228,0193268507
HANDYMAN AT WORK,,01121988195
COOL MORE SERVICES ENTERPRISE,0178850151,0178850151
JSS ELECTRICAL & AIRCOND,0173553331,0173553331
HIN CONSTRUCTION SDN BHD,0162193181,0162193181
MY GEMILANG SDN BHD,,0333198956
MAHASUTRA KAPITAL,0109225715,0109225715
ACS COOLING SYSTEM SDN BHD,,0178779509
AIRCON HERO,0182375162,0327879111
TKR ELECTRICALS,,0163958437
LY AIR CONDITIONER,,0126100414
WITURA TECHNOLOGY SDN BHD,0124442898,0124442898
FAST MAINTANENCE,,0172906532
EEM SOLUTION,01164115790,01164115790
ECO ELECTRICAL SERVICES SDN.BHD,0122983623,0122983623
JEBAT SERVICE & ENTERPRISE,0199827402,0199827402
SUNNY ELECTRIC AND AIRCOND SERVICES,01121227422,01121227422
THUNDER CUSTOM CARPENTRY & RENOVATION,01110182570,01110182570
U & U ENGINEERING TECHNOLOGIES SDN BHD,0196166513,0196166513
KOK COOL REPAIRS & WORKS,0173261086,01115295899
MELATI IKHLAS ENTERPRISE,0164383642,0164383642
YU SEN ENGINEERING,0164772808,0164772808
FENDIYAN ENTERPRISE,0172870188,0172870188
COOLPOINT AIRCOND SERVICES,0126354047,0126354047
ERA ASLAM AIRCON SERVICES,01127370065,01127370065
DIB & SIDS TECH,0189883531,0189883531
